"Total calls:","3759"
"Total drops:","0"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","0.00"
"Desired sale rate:","0.00 %"
"Actual sale rate:","26.07"
"Average call duration:","59.55 seconds"
"Erlangs:","0.0935"
"Estimated agents fielding calls:","N/A"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-01-14 10am","3","1","0:01:47","0:00:36","0:00:00","0.0000","0.0300","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 11am","4","0","0:02:30","0:00:38","0:00:00","0.0000","0.0422","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 12pm","6","0","0:06:15","0:01:03","0:00:00","0.0000","0.1050","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 02pm","1","1","0:01:38","0:01:38","0:00:00","0.0000","0.0272","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 04pm","1","1","0:01:39","0:01:39","0:00:00","0.0000","0.0275","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 05pm","2","0","0:00:52","0:00:26","0:00:00","0.0000","0.0144","1","1","2.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 06pm","5","1","0:05:22","0:01:04","0:00:00","0.0000","0.0889","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 07pm","4","3","0:07:00","0:01:45","0:00:00","0.0000","0.1167","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 08pm","1","0","0:00:33","0:00:33","0:00:00","0.0000","0.0092","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 09pm","3","0","0:02:26","0:00:49","0:00:00","0.0000","0.0408","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-14 10pm","1","0","0:00:51","0:00:51","0:00:00","0.0000","0.0142","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-15 11am","1","0","0:00:02","0:00:02","0:00:00","0.0000","0.0006","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-15 12pm","4","2","0:09:52","0:02:28","0:00:00","0.0000","0.1644","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
