"Total calls:","173040"
"Total drops:","9668"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","5.59"
"Desired sale rate:","0.00 %"
"Actual sale rate:","1.49"
"Average call duration:","13.99 seconds"
"Erlangs:","1.7555"
"Estimated agents fielding calls:","5"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-02-10 08am","278","4","1:02:19","0:00:13","0:00:55","0.0396","1.0039","1","4","69.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 09am","929","17","4:25:17","0:00:17","0:02:47","0.0366","4.3869","1","9","103.22","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 10am","909","20","4:35:08","0:00:18","0:04:51","0.0649","4.5450","1","8","113.62","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 11am","847","20","5:17:41","0:00:23","0:06:26","0.0921","5.4114","1","8","105.88","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 12pm","651","10","3:00:09","0:00:17","0:06:35","0.1214","3.0742","1","5","130.20","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 01pm","950","12","3:58:26","0:00:15","0:04:09","0.0526","3.9583","1","8","118.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 02pm","1117","16","4:01:39","0:00:13","0:04:05","0.0439","4.0336","1","8","139.62","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 03pm","745","18","3:17:20","0:00:16","0:05:34","0.0913","3.3111","1","6","124.17","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 04pm","625","4","2:44:11","0:00:16","0:01:52","0.0384","2.7778","1","7","89.29","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 05pm","406","3","1:32:56","0:00:14","0:04:33","0.1379","1.5789","1","4","101.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 06pm","203","2","0:31:10","0:00:09","0:04:05","0.2414","0.5075","1","2","101.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 07pm","129","3","0:29:05","0:00:14","0:02:06","0.1938","0.5017","1","2","64.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 08pm","214","1","0:25:04","0:00:07","0:02:06","0.1215","0.4161","1","2","107.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 09pm","95","0","0:08:24","0:00:05","0:00:15","0.0316","0.1319","1","2","47.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-10 10pm","4","1","0:01:29","0:00:22","0:00:00","0.0000","0.0244","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 08am","162","6","0:46:18","0:00:17","0:01:00","0.0741","0.7650","1","3","54.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 09am","609","34","3:15:35","0:00:19","0:07:36","0.1511","3.2142","1","5","121.80","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 10am","729","25","3:20:25","0:00:16","0:03:46","0.0631","3.2400","1","7","104.14","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-11 11am","996","30","4:13:27","0:00:15","0:06:12","0.0753","4.1500","1","7","142.29","$0.00","$0.00","$0.00","$0.00","$0.00"
